variable_id,class_id,semantic_folder,execution_queue,freeze_or_route_action,current_build_status,owner_approval_status,dependency_or_split_identity,unlock_condition,allowed_next_work,queue_reason,audit_rationale,dictionary_hit_count,dictionary_hit_tables
std_first_day_rrt_post_icu_24h_episode_clip,class5_episode_interval_bridge,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved upstream parent or component family,lock parent/component identity and candidate denominator before approval-facing build,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam has ICU/MCU interval evidence, but parent-link or follow-up bridge rules must be proven.",326,listitems:320;numericitems:6
std_icu_admission_28d_advanced_respiratory_support_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",99,listitems:83;numericitems:16
std_icu_admission_28d_any_respiratory_support_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",99,listitems:83;numericitems:16
std_icu_admission_28d_crrt_family_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",38,listitems:9;numericitems:29
std_icu_admission_28d_followup_bridge,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved upstream parent or component family,lock parent/component identity and candidate denominator before approval-facing build,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
std_icu_admission_28d_imv_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
std_icu_admission_28d_mortality,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved admission/follow-up death bridge,"lock local admission anchor, date-of-death availability, and censoring rule",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
std_icu_admission_28d_non_crrt_rrt_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",38,listitems:9;numericitems:29
std_icu_admission_28d_rrt_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
std_icu_admission_28d_vasopressor_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",3,listitems:3
std_icu_admission_30d_mortality,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved admission/follow-up death bridge,"lock local admission anchor, date-of-death availability, and censoring rule",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
std_icu_admission_365d_mortality,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved admission/follow-up death bridge,"lock local admission anchor, date-of-death availability, and censoring rule",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
std_icu_admission_90d_mortality,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved admission/follow-up death bridge,"lock local admission anchor, date-of-death availability, and censoring rule",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
std_icu_rrt_fluid_removal_bridge_hourly,class5_episode_interval_bridge,intake_output_balance,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved upstream parent or component family,lock parent/component identity and candidate denominator before approval-facing build,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam has ICU/MCU interval evidence, but parent-link or follow-up bridge rules must be proven.",14,listitems:4;numericitems:10
trial_style_28d_advanced_respiratory_support_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",99,listitems:83;numericitems:16
trial_style_28d_any_respiratory_support_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",99,listitems:83;numericitems:16
trial_style_28d_crrt_family_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",38,listitems:9;numericitems:29
trial_style_28d_imv_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
trial_style_28d_non_crrt_rrt_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",38,listitems:9;numericitems:29
trial_style_28d_rrt_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",0,
trial_style_28d_vasopressor_free_days,class5_episode_interval_bridge,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved support episode parent plus mortality/follow-up bridge,"lock death censoring, day-28 denominator, and episode overlap rules",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam date-of-death and local admission timing can support bounded review, but follow-up/free-day semantics need a bridge first.",3,listitems:3
std_aki_kdigo,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_apsiii,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_gcs,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_hospital_history_comorbidity_charlson_index,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_icu_cam_icu_component_event,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",8,drugitems:3;numericitems:5
std_icu_delirium_assessment_event,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",8,drugitems:3;numericitems:5
std_icu_delirium_assessment_same_time_summary,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",9,freetextitems:1;numericitems:7;procedureorderitems:1
std_kdigo_stage,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_lods,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_meld,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",2,numericitems:2
std_oasis,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_sapsii,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_sepsis3_onset_delta_sofa_from_chronic_baseline,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",4,drugitems:1;freetextitems:1;procedureorderitems:2
std_sepsis3_onset_official_zero_baseline_assumed,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_septic_shock_criteria_event,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",8,drugitems:3;numericitems:5
std_septic_shock_onset,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_sic_criteria_event,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",8,drugitems:3;numericitems:5
std_sic_onset,class8_score_phenotype_composite_derived,diagnosis_computable,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_sirs,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",2,listitems:2
std_sofa,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",2,procedureorderitems:2
std_sofa2,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",0,
std_sofa2_cardiovascular_helper,class8_score_phenotype_composite_derived,scores,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,"approved component variables for the score, phenotype, or computable diagnosis","lock component source variables, timing window, missing-component policy, and scoring formula",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed.",174,listitems:174
