variable_id,semantic_folder,value_type,grain,class_id,amsterdam_status_bucket,amsterdam_phase,amsterdam_already_public_covered,dictionary_hit_count,dictionary_hit_tables,priority_tier,rationale
std_bacteria_urine_sediment_result,laboratory,categorical text,event-level measurement,class6_ordinal_text_semiquantitative_result,bounded_candidate_only,ordinal_source_hit_needs_domain_review,False,190,drugitems:3;freetextitems:59;listitems:2;numericitems:114;procedureorderitems:10;processitems:2,9_not_in_ready_batch,"Amsterdam list/freetext/numeric evidence exists, but the result domain must be locked before approval."
std_band_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,13,numericitems:4;procedureorderitems:6;processitems:3,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_band_pct_ascites,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,13,numericitems:4;procedureorderitems:6;processitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_band_pct_csf,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,13,numericitems:4;procedureorderitems:6;processitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_band_pct_joint_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,13,numericitems:4;procedureorderitems:6;processitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_band_pct_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,13,numericitems:4;procedureorderitems:6;processitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_band_pct_pleural,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,13,numericitems:4;procedureorderitems:6;processitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_base_excess_bg,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_basophil_abs,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_basophil_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_basophil_pct_ascites,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_basophil_pct_csf,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_basophil_pct_joint_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_basophil_pct_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_basophil_pct_pleural,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_bicarbonate,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,4,drugitems:4,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_bicarbonate_bg,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,already_public_covered,True,7,drugitems:4;numericitems:3,0_already_covered,Already public-covered for Amsterdam under current governed evidence.
std_bicarbonate_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,4,drugitems:4,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_bicarbonate_stool,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,4,drugitems:4,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_bilirubin_urinalysis_result,laboratory,categorical text,event-level measurement,class6_ordinal_text_semiquantitative_result,bounded_candidate_only,ordinal_source_hit_needs_domain_review,False,9,freetextitems:1;listitems:2;numericitems:6,9_not_in_ready_batch,"Amsterdam list/freetext/numeric evidence exists, but the result domain must be locked before approval."
std_blast_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,7,numericitems:7,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_blast_pct_csf,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,7,numericitems:7,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_blood_urinalysis_result,laboratory,categorical text,event-level measurement,class6_ordinal_text_semiquantitative_result,bounded_candidate_only,ordinal_source_hit_needs_domain_review,False,29,drugitems:2;listitems:2;numericitems:25,9_not_in_ready_batch,"Amsterdam list/freetext/numeric evidence exists, but the result domain must be locked before approval."
std_bmi_admission_baseline,anthropometrics,numeric_derived,encounter,class2_baseline_summary_window_numeric,split_identity_needed,known_boundary_from_prior_review,False,0,,9_not_in_ready_batch,Prior Amsterdam review showed the same-name route would mix hospital-level or exact-measurement semantics; split/proxy identity is needed.
std_bmi_icu_baseline,anthropometrics,numeric_derived,ICU stay,class2_baseline_summary_window_numeric,split_identity_needed,known_boundary_from_prior_review,False,0,,9_not_in_ready_batch,Prior Amsterdam review showed the same-name route would mix hospital-level or exact-measurement semantics; split/proxy identity is needed.
std_bun,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,already_public_covered,True,8,freetextitems:1;numericitems:7,0_already_covered,Already public-covered for Amsterdam under current governed evidence.
std_carbon_dioxide_partial_pressure_bg_allspecimen,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,direct_numeric_source_ready,False,72,drugitems:12;numericitems:60,2_numeric_spine_later,Amsterdam numericitems/dictionary evidence supports a direct event-level candidate with low semantic risk.
std_carboxyhemoglobin_bg,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cd3_abs,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cd3_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cd4_abs,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cd4_cd8_ratio,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,41,drugitems:1;freetextitems:1;listitems:17;numericitems:22,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_cd4_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cd8_abs,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cd8_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cea,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_cellular_casts_urine_sediment_result,laboratory,categorical text,event-level measurement,class6_ordinal_text_semiquantitative_result,bounded_candidate_only,ordinal_source_hit_needs_domain_review,False,188,drugitems:3;freetextitems:59;numericitems:114;procedureorderitems:10;processitems:2,9_not_in_ready_batch,"Amsterdam list/freetext/numeric evidence exists, but the result domain must be locked before approval."
std_chloride,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,already_public_covered,True,36,drugitems:26;numericitems:10,0_already_covered,Already public-covered for Amsterdam under current governed evidence.
std_chloride_bg_whole_blood,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,blood_gas_item_family_needs_review,False,17,drugitems:17,9_not_in_ready_batch,"Blood-gas source evidence exists, but the all-specimen/arterial/source-family rule must be locked."
std_chloride_stool,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,17,drugitems:17,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_ck_cpk,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_ck_mb,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_creatinine,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,already_public_covered,True,15,numericitems:15,0_already_covered,Already public-covered for Amsterdam under current governed evidence.
std_creatinine_ascites,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,3,numericitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_creatinine_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,3,numericitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_creatinine_pleural,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,3,numericitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_creatinine_urine,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,3,numericitems:3,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_creatinine_whole_blood,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,blood_gas_item_family_needs_review,False,3,numericitems:3,9_not_in_ready_batch,"Blood-gas source evidence exists, but the all-specimen/arterial/source-family rule must be locked."
std_crp,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_crp_hs,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_crrt_device_parameter_event,device_support,mixed_numeric_text_event,icu_stay_event,class4_treatment_device_io_event_stream,bounded_candidate_only,event_stream_source_review_needed,False,63,drugitems:3;listitems:26;numericitems:34,9_not_in_ready_batch,"Amsterdam drugitems/numericitems/procedure/process tables support event-stream candidates, but unit/grain/source-family rules need review."
std_crrt_family_active,treatment_state,current approved database assets still need explicit public normalization,current approved database assets still need explicit public normalization,class3_binary_state_episode,same_name_ready,already_public_covered,True,40,drugitems:2;listitems:9;numericitems:29,0_already_covered,Already public-covered for Amsterdam under current governed evidence.
std_d_dimer,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,2,drugitems:1;numericitems:1,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_days_to_first_icu_post_entry_intubation,outcomes,duration measurement,ICU stay,class2_baseline_summary_window_numeric,bounded_candidate_only,icu_window_or_summary_candidate,False,326,listitems:320;numericitems:6,9_not_in_ready_batch,"Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed."
std_days_to_first_icu_post_entry_tracheostomy,outcomes,duration measurement,ICU stay,class2_baseline_summary_window_numeric,bounded_candidate_only,icu_window_or_summary_candidate,False,326,listitems:320;numericitems:6,9_not_in_ready_batch,"Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed."
std_days_to_next_hospital_admission,outcomes,duration measurement,encounter,class2_baseline_summary_window_numeric,split_identity_needed,known_boundary_from_prior_review,False,0,,9_not_in_ready_batch,Prior Amsterdam review showed the same-name route would mix hospital-level or exact-measurement semantics; split/proxy identity is needed.
std_days_to_next_icu_admission,outcomes,current approved database assets still need explicit public normalization,current approved database assets still need explicit public normalization,class2_baseline_summary_window_numeric,same_name_ready,already_public_covered,True,0,,0_already_covered,Already public-covered for Amsterdam under current governed evidence.
std_days_to_next_icu_mcu_admission,outcomes,duration measurement with status,ICU/MCU local admission,class2_baseline_summary_window_numeric,same_name_ready,already_public_covered,True,0,,0_already_covered,Amsterdam-specific split identity is already public-covered under its own exact name.
std_dbp,vital_signs,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,already_public_covered,True,10,numericitems:10,0_already_covered,Already public-covered for Amsterdam under current governed evidence.
std_direct_bilirubin,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,12,freetextitems:1;numericitems:10;procedureorderitems:1,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_discharge_disposition,outcomes,categorical text,encounter,class7_diagnosis_admin_demographic_id_map,same_name_ready,admissions_core_admin_field_ready,False,0,,3_ready_after_current_batch,Amsterdam admissions_core has local origin/destination/discharge context for governed review.
std_drvvt_confirmation_ratio,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,41,drugitems:1;freetextitems:1;listitems:17;numericitems:22,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_drvvt_normalized_ratio,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,41,drugitems:1;freetextitems:1;listitems:17;numericitems:22,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_drvvt_screen_ratio,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,46,drugitems:1;freetextitems:5;listitems:17;numericitems:23,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_eag,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_ecmo_active,treatment_state,state_episode,icu_stay_episode,class3_binary_state_episode,bounded_candidate_only,state_source_review_needed,False,20,drugitems:2;listitems:1;numericitems:12;procedureorderitems:2;processitems:3,9_not_in_ready_batch,"Amsterdam processitems/listitems/drugitems may support this state, but item/state boundaries need a focused source audit."
std_ecmo_device_parameter_event,device_support,mixed_numeric_text_event,icu_stay_event,class4_treatment_device_io_event_stream,bounded_candidate_only,event_stream_source_review_needed,False,43,drugitems:3;listitems:18;numericitems:17;procedureorderitems:2;processitems:3,9_not_in_ready_batch,"Amsterdam drugitems/numericitems/procedure/process tables support event-stream candidates, but unit/grain/source-family rules need review."
std_ed_current_diagnosis_icd,diagnosis_current,categorical text,event-level measurement,class7_diagnosis_admin_demographic_id_map,not_supported_or_blocked,hospital_level_surface_absent,False,4,numericitems:4,9_not_in_ready_batch,Amsterdam opening source is ICU/MCU centered and does not expose the required MIMIC-like hospital workflow surface.
std_eosinophil_abs,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_eosinophil_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_eosinophil_pct_ascites,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_eosinophil_pct_csf,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_eosinophil_pct_joint_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_eosinophil_pct_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_eosinophil_pct_pleural,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_epithelial_cells_urine_sediment_result,laboratory,categorical text,event-level measurement,class6_ordinal_text_semiquantitative_result,bounded_candidate_only,ordinal_source_hit_needs_domain_review,False,192,drugitems:5;freetextitems:61;numericitems:114;procedureorderitems:10;processitems:2,9_not_in_ready_batch,"Amsterdam list/freetext/numeric evidence exists, but the result domain must be locked before approval."
std_esr,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_factor_ii_activity,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,19,drugitems:3;freetextitems:2;numericitems:14,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_factor_ix_activity,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,19,drugitems:3;freetextitems:2;numericitems:14,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
